code,value
AF,1
AX,1
AL,1
DZ,0
AS,1
AD,1
AO,0
AI,1
AQ,1
AG,0
AR,0
AM,0
AW,1
AU,1
AT,1
AZ,1
BS,0
BD,1
BB,0
BY,0
BE,1
BZ,1
BJ,0
BM,1
BT,1
BO,0
BQ,1
BA,1
BW,0
BV,1
BR,0
IO,1
BN,1
BG,0
BF,0
BI,0
CV,0
KH,1
CM,0
CA,1
KY,1
CF,0
TD,0
CL,0
CN,0
CX,1
CC,1
CO,0
KM,0
CG,0
CD,0
CK,1
CR,1
HR,1
CU,0
CW,1
CY,1
CZ,0
DK,1
DJ,0
DM,0
DO,0
EC,0
EG,0
SV,1
GQ,0
ER,0
EE,1
SZ,0
ET,0
FK,0
FO,1
FJ,1
FI,1
FR,1
GF,0
PF,1
TF,1
GA,0
GM,0
GE,1
DE,1
GH,0
GI,1
GR,1
GL,1
GD,0
GP,1
GU,1
GT,1
GG,1
GN,0
GW,0
GY,0
HT,0
HM,1
VA,1
HN,1
HK,1
HU,0
IS,1
IN,1
ID,0
IR,0
IQ,0
IE,1
IM,1
IL,0
IT,1
JM,0
JP,1
JE,1
JO,0
KZ,1
KE,0
KI,1
KP,0
KR,1
KW,0
KG,1
LA,1
LV,1
LB,0
LS,0
LR,0
LY,0
LI,1
LT,1
LU,1
MO,1
MG,0
MW,0
MY,1
MV,1
ML,0
MT,1
MH,1
MQ,1
MR,0
MU,0
YT,1
MX,0
FM,1
MD,0
MC,1
MN,1
ME,1
MS,1
MA,0
MZ,0
MM,1
NA,0
NR,1
NP,1
NL,1
NC,1
NZ,1
NI,1
NE,0
NG,0
NU,1
NF,1
MK,1
MP,1
NO,1
OM,0
PK,1
PW,1
PS,1
PA,1
PG,1
PY,0
PE,0
PH,1
PN,1
PL,0
PT,1
PR,1
QA,0
RE,0
RO,0
RU,0
RW,0
BL,1
SH,1
KN,0
LC,0
MF,1
PM,1
VC,0
WS,1
SM,1
ST,0
SA,0
SN,0
RS,1
SC,0
SL,0
SG,1
SX,1
SK,0
SI,1
SB,1
SO,0
ZA,0
GS,1
SS,0
ES,1
LK,1
SD,0
SR,0
SJ,1
SE,1
CH,1
SY,0
TW,1
TJ,1
TZ,0
TH,1
TL,1
TG,0
TK,1
TO,1
TT,0
TN,0
TR,1
TM,1
TC,1
TV,1
UG,0
UA,0
AE,0
GB,1
UM,1
US,1
UY,0
UZ,1
VU,1
VE,0
VN,1
VG,1
VI,1
WF,1
EH,0
YE,0
ZM,0
ZW,0
